name,field,subcategory,mbti
Alexis Bledel,Entertainment,Aktor/Aktres,ISFJ
Alexis Ren,Entertainment,Model,ESFJ
Alexis Tipton,Entertainment,Pengisi Suara,ESFP
Alexxis Lemire,Entertainment,Aktor/Aktres,ENFP
Alexz Johnson,Entertainment,Aktor/Aktres,INFJ
Alfie Allen,Entertainment,Aktor/Aktres,ISFP
Alfonso Cuarón,Entertainment,Sutradara Film,INFP
Alfonso Herrera,Entertainment,Aktor/Aktres,ENFJ
Alfonso Obregón,Entertainment,Pengisi Suara,INTP
Alfonso Ribeiro,Entertainment,Aktor/Aktres,ENTP
Alfonso Signorini,Entertainment,Pembawa Acara,ENFJ
Alfre Woodard,Entertainment,Aktor/Aktres,ESTJ
Alfred Enoch,Entertainment,Aktor/Aktres,ENFP
Alfred Hitchcock,Entertainment,Sutradara Film,ESTP
Alfred Molina,Entertainment,Aktor/Aktres,ENFP
Alfredo Adame,Entertainment,Aktor/Aktres,ESFP
Ali Atay,Entertainment,Sutradara Film,ISFP
Ali Foroutan,Entertainment,Aktor/Aktres,INTP
Ali İhsan Varol,Entertainment,Pembawa Acara,ENFJ
Ali Michael,Entertainment,Model,INFP
Ali Oji,Entertainment,Aktor/Aktres,ENFP
Ali Plumb,Entertainment,Pembawa Acara,ENFP
Ali shadman,Entertainment,Aktor/Aktres,ENFP
Ali Siddiq,Entertainment,Komedian,ISTP
Ali Tabrizi,Entertainment,Sutradara Film,INTP
Ali Wong,Entertainment,Komedian,ESTP
Ali Zafar,Entertainment,Aktor/Aktres,ENTP
Alia Bhatt,Entertainment,Aktor/Aktres,ESFP
Alia Shawkat,Entertainment,Aktor/Aktres,ENFP
Aliando Syarief,Entertainment,Aktor/Aktres,ISFP
Alice Braga,Entertainment,Aktor/Aktres,ESFP
Alice Evans,Entertainment,Aktor/Aktres,ENFP
Alice Eve,Entertainment,Aktor/Aktres,ISFJ
Alice Henley,Entertainment,Aktor/Aktres,ESFJ
Alice Krige,Entertainment,Aktor/Aktres,ENFJ
Alice Wu,Entertainment,Sutradara Film,INTJ
Alicia Agneson,Entertainment,Aktor/Aktres,ESFP
Alicia Banit,Entertainment,Aktor/Aktres,ENFP
Alicia Machado,Entertainment,Aktor/Aktres,ESFP
Alicia Silverstone,Entertainment,Aktor/Aktres,ENFP
Alicia Vikander,Entertainment,Aktor/Aktres,ISFJ
Alicia Witt,Entertainment,Aktor/Aktres,INTP
Aliki Vougiouklaki,Entertainment,Aktor/Aktres,ESFP
Alina Boz,Entertainment,Aktor/Aktres,INFJ
Aline Campos (Aline Riscado),Entertainment,Aktor/Aktres,ISFP
Aline Mineiro,Entertainment,Model,ISFP
Aline Wirley (BBB23),Entertainment,Aktor/Aktres,ENFJ
Alisha Boe,Entertainment,Aktor/Aktres,ENFJ
Alison Brie,Entertainment,Aktor/Aktres,ENFP
Alison Elizabeth Larton,Entertainment,Aktor/Aktres,ISTP
Alison Hammond,Entertainment,Pembawa Acara,ESFP
Alison Lohman,Entertainment,Aktor/Aktres,ENFJ
Alison Pill,Entertainment,Aktor/Aktres,INTP
Alissa Salls,Entertainment,Model,INFP
Allison Harvard,Entertainment,Model,INFP
Allison Janney,Entertainment,Aktor/Aktres,ESTP
Allison Mack,Entertainment,Aktor/Aktres,ENTP
Allison Williams,Entertainment,Aktor/Aktres,ISFJ
Allu Arjun,Entertainment,Aktor/Aktres,ENFP
Ally Sheedy,Entertainment,Aktor/Aktres,ISTP
Alma Reville,Entertainment,Film & TV Crew,ENFP
Alodia Gosiengfiao,Entertainment,Model,INFP
Alp Kırşan,Entertainment,Pembawa Acara,ENFP
Alp Navruz,Entertainment,Aktor/Aktres,ENTJ
Alper Çağlar,Entertainment,Sutradara Film,ENTP
Alperen Duymaz,Entertainment,Aktor/Aktres,INFP
Althea Ablan,Entertainment,Aktor/Aktres,ESFJ
Alton Mason,Entertainment,Model,ENFP
Álvaro Díaz,Entertainment,Sutradara Film,ENTP
Álvaro Morte,Entertainment,Aktor/Aktres,ENFJ
Álvaro Rico,Entertainment,Aktor/Aktres,ENFP
Alvaro Vitali,Entertainment,Aktor/Aktres,ENTP
Alycia Debnam-Carey,Entertainment,Aktor/Aktres,ISFP
Alyson Hannigan,Entertainment,Aktor/Aktres,ESFJ
Alyson Michalka,Entertainment,Aktor/Aktres,ISFP
Alyson Stoner,Entertainment,Aktor/Aktres,ENFJ
Alyssa Milano,Entertainment,Aktor/Aktres,ESFP
